,Surroundings,Inventory,Action,Response,Reward,Reward_Type,Score,Moves,Total_Moves
0,west of house you are standing in an open field west of a white house with a boarded front door there is a small mailbox here you are empty-handed,you are empty-handed,go northeast,north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees,1.5, new area score ---north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees you are empty-handed - moved around - ,1.5,0,0
1,north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees you are empty-handed,you are empty-handed,go east,behind house you are behind the white house a path leads into the forest to the east in one corner of the house there is a small window which is slightly ajar,1.5, new area score ---behind house you are behind the white house a path leads into the forest to the east in one corner of the house there is a small window which is slightly ajar you are empty-handed - moved around - ,3.0,1,1
2,behind house you are behind the white house a path leads into the forest to the east in one corner of the house there is a small window which is slightly ajar you are empty-handed,you are empty-handed,open window,with great effort you open the window far enough to allow entry,1.5, new area score ---behind house you are behind the white house a path leads into the forest to the east in one corner of the house there is a small window which is open you are empty-handed - moved around - ,4.5,2,2
3,behind house you are behind the white house a path leads into the forest to the east in one corner of the house there is a small window which is open you are empty-handed,you are empty-handed,go south,south of house you are facing the south side of a white house there is no door here and all the windows are boarded,1.5, new area score ---south of house you are facing the south side of a white house there is no door here and all the windows are boarded you are empty-handed - moved around - ,6.0,3,3
4,south of house you are facing the south side of a white house there is no door here and all the windows are boarded you are empty-handed,you are empty-handed,play house,that's silly,-1.0,,5.0,4,4
5,south of house you are facing the south side of a white house there is no door here and all the windows are boarded you are empty-handed,you are empty-handed,go west,west of house there is a small mailbox here,1.5, new area score ---west of house you are standing in an open field west of a white house with a boarded front door there is a small mailbox here you are empty-handed - moved around - ,6.5,5,5
6,west of house you are standing in an open field west of a white house with a boarded front door there is a small mailbox here you are empty-handed,you are empty-handed,go northeast,north of house,-0.5, - moved around - ,6.0,6,6
7,north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees you are empty-handed,you are empty-handed,go north,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path,1.5, new area score ---forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed - moved around - ,7.5,7,7
8,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed,you are empty-handed,go south,north of house,-0.5, - moved around - ,7.0,8,8
9,north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees you are empty-handed,you are empty-handed,go west,west of house there is a small mailbox here,-0.5, - moved around - ,6.5,9,9
10,west of house you are standing in an open field west of a white house with a boarded front door there is a small mailbox here you are empty-handed,you are empty-handed,go north,north of house,-0.5, - moved around - ,6.0,10,10
11,north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees you are empty-handed,you are empty-handed,unlock windows with door,you can't see any door here,-1.0,,5.0,11,11
12,north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees you are empty-handed,you are empty-handed,go west,west of house there is a small mailbox here,-0.5, - moved around - ,4.5,12,12
13,west of house you are standing in an open field west of a white house with a boarded front door there is a small mailbox here you are empty-handed,you are empty-handed,go west,forest this is a forest with trees in all directions to the east there appears to be sunlight,1.5, new area score ---forest this is a forest with trees in all directions to the east there appears to be sunlight you are empty-handed - moved around - ,6.0,13,13
14,forest this is a forest with trees in all directions to the east there appears to be sunlight you are empty-handed,you are empty-handed ,go north,clearing you are in a clearing with a forest surrounding you on all sides a path leads south on the ground is a pile of leaves,1.5, new area score ---clearing you are in a clearing with a forest surrounding you on all sides a path leads south on the ground is a pile of leaves you are empty-handed - moved around - ,7.5,14,14
15,clearing you are in a clearing with a forest surrounding you on all sides a path leads south on the ground is a pile of leaves you are empty-handed,you are empty-handed,go east,forest this is a dimly lit forest with large trees all around,1.5, new area score ---forest this is a dimly lit forest with large trees all around you are empty-handed - moved around - ,9.0,15,15
16,forest this is a dimly lit forest with large trees all around you are empty-handed,you are empty-handed,go west,forest path,-0.5, - moved around - ,8.5,16,16
17,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed,you are empty-handed,go up,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach beside you on the branch is a small bird's nest in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile,1.5, new area score ---up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach beside you on the branch is a small bird's nest in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile you are empty-handed - moved around - ,10.0,17,17
18,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach beside you on the branch is a small bird's nest in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile you are empty-handed,you are empty-handed,eat nest,taken i don't think that the bird's nest would agree with you,4.5, inventory score (you are empty-handed --- you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg) new area score ---up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg - moved around - ,14.5,18,18
19,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg,you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg,go down,forest path,1.5, new area score ---forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg - moved around - ,16.0,19,19
20,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg,you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg,get forest,you can't be serious,-1.0,,15.0,20,20
21,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg,you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg,go north,clearing on the ground is a pile of leaves,1.5, new area score ---clearing you are in a clearing with a forest surrounding you on all sides a path leads south on the ground is a pile of leaves you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg - moved around - ,16.5,21,21
22,clearing you are in a clearing with a forest surrounding you on all sides a path leads south on the ground is a pile of leaves you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg,you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg,leave egg,dropped,1.5, new area score ---clearing you are in a clearing with a forest surrounding you on all sides a path leads south in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile on the ground is a pile of leaves you are carrying a bird's nest - moved around - ,18.0,22,22
23,clearing you are in a clearing with a forest surrounding you on all sides a path leads south in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile on the ground is a pile of leaves you are carrying a bird's nest,you are carrying a bird's nest,enter egg,an interesting idea,-1.0,,17.0,23,23
